Name;Type;Component partial value (from all SPL);Whole value with its subcomponents;Component valuability (in LOC);Is common;Is variability point;Whole SPL weight
zoom-management-bottom-sheet;component;0,020439829319965387;171,25;6,75;false;true;8378,25
puzzle-generator-quadro2;service;0,157550801181631;1320,0;666,0;false;true;8378,25
bottom-right-fabric-menu;service;0,0186196401396473;156,0;156,0;false;false;8378,25
extendedPuzzle;interface;0,0031032733566078836;26,0;26,0;true;false;8378,25
set-zoom-position;component;0,043893414495867276;367,75;41,75;false;true;8378,25
puzzles.actions;interface;0,007638826723957867;64,0;64,0;true;false;8378,25
zoomManagementInterface;interface;9,548533404947334E-4;8,0;8,0;true;false;8378,25
algorithmMap;interface;0,0040581266971026165;34,0;34,0;true;false;8378,25
set-puzzle-area-on-board;service;0,030316593560707785;254,0;254,0;true;false;8378,25
drag-and-drop;directive;0,014800226777668367;124,0;124,0;true;false;8378,25
puzzle-chooser-bottom-sheet;component;2,3871333512368335E-4;2,0;2,0;false;false;8378,25
manipulation-handler;service;0,018142213469399933;152,0;152,0;true;false;8378,25
routingModel;interface;0,0019097066809894668;16,0;16,0;true;false;8378,25
component-factory;service;0,01766478679915257;148,0;148,0;false;false;8378,25
game-configuration;component;0,004744427535583206;39,75;39,75;false;false;8378,25
gallery;mock;0,027452033539223587;230,0;230,0;true;false;8378,25
scan-line;service;0,009787246740071018;82,0;82,0;false;false;8378,25
bring-to-front;service;0,007638826723957867;64,0;64,0;false;false;8378,25
puzzles;interface;0,002625846686360517;22,0;22,0;true;false;8378,25
routing;mock;0,06134932712678662;514,0;116,0;false;true;8378,25
app;component;0,0028347208545937397;23,75;23,75;true;false;8378,25
puzzles.reducer;interface;0,010980813415689433;92,0;92,0;true;false;8378,25
random-utils;service;0,0028645600214842;24,0;24,0;false;false;8378,25
draw-adjacent-points;service;0,04893623370035509;410,0;410,0;false;false;8378,25
routing-all;mock;0,0128905200966789;108,0;108,0;true;false;8378,25
puzzle-manager;service;0,038910273625160384;326,0;326,0;false;false;8378,25
template-preview;component;0,00214842001611315;18,0;18,0;false;false;8378,25
game-configuration;service;0,16447348790021782;1378,0;80,0;false;true;8378,25
delete-puzzle-service;service;0,009548533404947334;80,0;80,0;false;false;8378,25
manage-puzzle;service;0,04225226031689195;354,0;354,0;false;false;8378,25
puzzle-builder;component;0,002476650851908215;20,75;20,75;true;false;8378,25
template-preview-bottom-sheet;component;8,653358398233521E-4;7,25;7,25;false;false;8378,25
top-right-fabric-menu;service;0,0186196401396473;156,0;156,0;false;false;8378,25
puzzle;mock;0,0014322800107421;12,0;12,0;true;false;8378,25
bring-to-back;service;0,007638826723957867;64,0;64,0;false;false;8378,25
zoom-manager;service;0,017903500134276253;150,0;150,0;false;false;8378,25
remove;directive;0,003341986691731567;28,0;28,0;true;false;8378,25
insert-template-image;component;0,007489630889505565;62,75;12,5;false;true;8378,25
puzzle-chooser;component;0,007668665890848327;64,25;64,25;false;false;8378,25
puzzle-controller-manager2;service;0,18237698803449406;1528,0;266,0;false;true;8378,25
resize-handler;service;0,023871333512368333;200,0;200,0;true;false;8378,25
decorator;interface;0,0011935666756184168;10,0;10,0;true;false;8378,25
initial-page;component;0,019514815146361112;163,5;163,5;true;false;8378,25
puzzle-controller-interface;interface;0,0023871333512368335;20,0;20,0;true;false;8378,25
point;interface;0,0011935666756184168;10,0;10,0;true;false;8378,25
old-puzzle;service;0,021484200161131502;180,0;180,0;true;false;8378,25
bottom-left-fabric-menu;service;0,018142213469399933;152,0;152,0;false;false;8378,25
main-navigation;component;0,010085638408975622;84,5;84,5;true;false;8378,25
app.effects;interface;0,0040581266971026165;34,0;34,0;true;false;8378,25
gallery;component;0,04950317787127383;414,75;88,75;false;true;8378,25
shuffle-puzzles;service;0,007638826723957867;64,0;64,0;false;true;8378,25
zoom-menu;component;0,00432667919911676;36,25;36,25;false;false;8378,25
zoom-block;component;0,005937994211201623;49,75;13,5;false;true;8378,25
set-zoom;component;0,004774266702473667;40,0;40,0;false;true;8378,25
small-main-menu;component;0,004177483364664458;35,0;35,0;true;false;8378,25
gallery-bottom-sheet;component;0,011398561752155879;95,5;6,75;false;true;8378,25
help-puzzle-service;service;0,00930982006982365;78,0;78,0;false;false;8378,25
image-size-manager;service;0,010980813415689433;92,0;92,0;true;false;8378,25
defaultTemplates;interface;0,002625846686360517;22,0;22,0;true;false;8378,25
index;interface;0,0028645600214842;24,0;24,0;true;false;8378,25
puzzle-generator-quadro;service;0,1577895145167547;1322,0;666,0;false;true;8378,25
puzzle-controller-manager;service;0,18166084802912302;1522,0;260,0;false;true;8378,25
disable-controls;service;0,006922686718586817;58,0;58,0;false;false;8378,25
puzzle-board;component;0,0037000566944170917;31,0;31,0;true;false;8378,25
draw-borders2;service;0,1360666010204995;1140,0;566,0;false;true;8378,25
zoom-management;component;0,09411273237251216;788,5;82,75;false;true;8378,25
top-left-fabric-menu;service;0,018858353474770984;158,0;158,0;false;false;8378,25
polygon;interface;0,003341986691731567;28,0;28,0;true;false;8378,25
draw-borders;service;0,13630531435562318;1142,0;568,0;false;true;8378,25
drag-and-drop-image;component;0,005997672544982544;50,25;50,25;false;false;8378,25
insert-template-image-bottom-sheet;component;0,008354966729328917;70,0;7,25;false;true;8378,25
