Name;Type;Component partial value (from all SPL);Whole value with its subcomponents;Component valuability (in LOC);Whole SPL weight
zoom-management-bottom-sheet;component;0,0111;89,50;6,75;8088,75
puzzle-generator-quadro2;service;0,1622;1312,00;664,00;8088,75
set-zoom-position;component;0,0452;365,75;41,75;8088,75
routing;mock;0,0254;205,25;74,00;8088,75
game-configuration;service;0,1694;1370,00;78,00;8088,75
insert-template-image;component;0,0078;62,75;12,50;8088,75
puzzle-controller-manager2;service;0,1862;1506,00;264,00;8088,75
gallery;component;0,0510;412,75;88,75;8088,75
shuffle-puzzles;service;0,0077;62,00;62,00;8088,75
zoom-block;component;0,0062;49,75;13,50;8088,75
set-zoom;component;0,0049;40,00;40,00;8088,75
gallery-bottom-sheet;component;0,0118;95,50;6,75;8088,75
puzzle-generator-quadro;service;0,1624;1314,00;664,00;8088,75
puzzle-controller-manager;service;0,1854;1500,00;258,00;8088,75
puzzle-board;component;0,0427;345,50;21,50;8088,75
draw-borders2;service;0,1397;1130,00;564,00;8088,75
zoom-management;component;0,0686;554,75;82,75;8088,75
draw-borders;service;0,1399;1132,00;566,00;8088,75
insert-template-image-bottom-sheet;component;0,0087;70,00;7,25;8088,75
