Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
CLASS: AppRoutingModule;0,0;0,0;0,008;-0,10399999999999965;56,80000000000001;5,0;3,1560000000000006;2,0;2,0;2,0;DecoratorTypesService,wholeBlockFile;0,0;3,0;;1,0;1,0;
CLASS: AppModule;0,0;-1,3889999999999993;0,010999999999999996;-0,02799999999999958;123,05999999999995;5,0;6,836999999999989;2,0;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;
CLASS: MainNavigationComponent;0,0;-0,48999999999999844;0,013000000000000012;-0,1789999999999985;273,42099999999846;5,0;15,190000000000055;2,0;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;
CLASS: SmallMainMenuComponent;0,0;-1,7539999999999978;0,010000000000000009;-0,14400000000000013;145,29700000000003;5,0;8,072000000000003;2,0;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;
CLASS: DragAndDropDirective;0,0;-0,5090000000000003;0,013000000000000012;-0,2400000000000002;235,80799999999908;5,0;13,100999999999999;2,0;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;
CLASS: RemoveDirective;0,0;-4,761999999999997;0,007999999999999997;-0,15100000000000025;64,43;5,0;3,580000000000002;2,0;2,0;2,0;DecoratorTypesService,wholeBlockFile;0,0;3,0;;1,0;1,0;
CLASS: AppEffects;0,0;-1,9229999999999983;0,009000000000000001;-0,030999999999999694;79,22300000000001;5,0;4,401;2,0;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;
CLASS: DecoratorTypesService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ServiceToSkipService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: FeatureConfigLoaderService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: MenuManagerService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: PuzzleAlgorithmManagerService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: VariableSettingsConfigService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
