Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;0,0;-0,16699999999999982;0,0019999999999999983;-0,05499999999999994;30,10800000000006;1,0;1,671999999999997;0,40000000000000036;0,0;0,40000000000000036;;0,0;0,6000000000000005;;0,20000000000000018;0,20000000000000018;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app.module.ts;0,0;-2,2220000000000013;0,009999999999999995;-0,028999999999999915;139,70800000000008;5,0;7,7620000000000005;2,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.ts;0,0;-0,04700000000000015;0,0010000000000000009;-0,016000000000000014;26,63500000000022;0,45500000000000185;1,480000000000004;0,18200000000000038;0,0;0,18099999999999916;;0,0;0,27200000000000024;;0,09100000000000019;0,0909999999999993;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.ts;0,0;-0,3069999999999995;0,0019999999999999983;-0,025000000000000133;27,113;0,8330000000000002;1,5060000000000002;0,33399999999999963;0,0;0,33399999999999963;;0,0;0,5;;0,16699999999999982;0,16600000000000037;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.ts;0,0;-0,05900000000000016;0,0020000000000000018;-0,027000000000000135;28,28099999999995;0,5560000000000009;1,570999999999998;0,22199999999999953;0,0;0,2220000000000013;;0,0;0,3330000000000002;;0,1120000000000001;0,11099999999999977;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.ts;0,0;-1,7859999999999996;0,002;-0,050000000000000044;26,36;1,6669999999999998;1,4649999999999999;0,6669999999999998;0,0;0,6669999999999998;;0,0;1,0;;0,33399999999999963;0,33399999999999963;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\effects\app.effects.ts;0,0;-0,5490000000000004;0,002;-0,007999999999999896;23,570999999999998;1,25;1,3099999999999996;0,5;0,0;0,5;;0,0;0,75;;0,25;0,25;
