Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
CLASS: AppRoutingModule;0,0;0,0;0,008;-0,10399999999999965;56,80000000000001;5,0;3,1560000000000006;2,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: AppModule;0,0;-1,3889999999999993;0,010999999999999996;-0,02799999999999958;123,05999999999995;5,0;6,836999999999989;2,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: MainNavigationComponent;0,0;-0,04400000000000004;0,0010000000000000009;-0,017000000000000126;24,855999999999995;0,4540000000000006;1,3799999999999955;0,1819999999999995;0,0;0,18200000000000038;;0,0;0,2729999999999997;;0,09100000000000019;0,09100000000000019;
CLASS: SmallMainMenuComponent;0,0;-0,29300000000000015;0,0019999999999999983;-0,02499999999999991;24,216000000000008;0,8330000000000002;1,346;0,3330000000000002;0,0;0,3330000000000002;;0,0;0,5;;0,16600000000000037;0,16699999999999982;
CLASS: DragAndDropDirective;0,0;-0,05699999999999994;0,0010000000000000009;-0,026999999999999913;26,201000000000022;0,5560000000000009;1,4559999999999889;0,22299999999999986;0,0;0,22199999999999953;;0,0;0,3330000000000002;;0,11099999999999977;0,11100000000000065;
CLASS: RemoveDirective;0,0;-1,5870000000000015;0,003000000000000001;-0,050000000000000044;21,476;1,6669999999999998;1,194;0,6660000000000004;0,0;0,6669999999999998;;0,0;1,0;;0,33399999999999963;0,3330000000000002;
CLASS: AppEffects;0,0;-0,48099999999999987;0,002;-0,008000000000000007;19,805999999999997;1,25;1,0999999999999996;0,5;0,0;0,5;;0,0;0,75;;0,25;0,25;
CLASS: DecoratorTypesService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ServiceToSkipService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: FeatureConfigLoaderService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: MenuManagerService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: PuzzleAlgorithmManagerService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: VariableSettingsConfigService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ZoomSettingsConfigService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: TreeManagerService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: AnnotationExtractorService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ComponentFactoryService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: FabricMenuHelperService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: GameConfigurationComponent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,25;0,0;
CLASS: MaterialModule;0,0;0,0;0,006999999999999999;0,4169999999999998;78,94;5,0;4,385999999999999;3,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: RoutingModelMock;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;0,0;2,0;;0,0;3,0;;1,0;1,0;
CLASS: AppComponent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;
CLASS: DragAndDropImageComponent;0,0;-0,03600000000000003;0,0010000000000000009;-0,027000000000000135;22,67599999999993;0,4159999999999968;1,259999999999991;0,16699999999999982;0,0;0,16699999999999982;;0,0;0,25;;0,08300000000000018;0,08300000000000018;
CLASS: ZoomBlockComponent;0,0;-2,7780000000000005;0,003999999999999999;0,16599999999999993;44,347;2,667;2,464;1,6660000000000004;0,0;1,3339999999999996;;0,0;1,3330000000000002;;0,33399999999999963;0,6669999999999998;
CLASS: ZoomMenuComponent;0,0;-0,29000000000000004;0,003999999999999997;-0,08799999999999986;33,88300000000004;1,3340000000000032;1,882000000000005;0,6660000000000004;0,0;0,6669999999999998;;0,0;0,6669999999999998;;0,16600000000000037;0,33399999999999963;
