Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;File methods;File classes;
null;;;;;;;;;;;;;;;;;4;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;2;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;2;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;0;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;0;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;5;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;4;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;1;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
null;;;;;;;;;;;;;;;;;3;0;
null;;;;;;;;;;;;;;;;;0;1;
