Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
CLASS: AppRoutingModule;0,0;0,0;0,0020000000000000018;0,0;10,408000000000015;1,0;0,5779999999999994;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: AppModule;0,0;0,0;0,001999999999999988;0,0;21,791999999999916;1,0;1,2109999999999985;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: MainNavigationComponent;0,0;0,0;0,0020000000000000018;0,0;79,89199999999983;1,0;4,437999999999988;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: SmallMainMenuComponent;0,0;0,0;0,0010000000000000009;0,0;31,960000000000036;1,0;1,7760000000000105;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: DragAndDropDirective;0,0;0,0;0,0020000000000000018;0,0;80,48899999999958;1,0;4,47199999999998;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: RemoveDirective;0,0;0,0;9,99999999999994E-4;0,0;12,727000000000032;1,0;0,7070000000000007;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: AppEffects;0,0;0,0;0,0020000000000000018;0,0;14,055000000000007;1,0;0,7799999999999976;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: DecoratorTypesService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ServiceToSkipService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: FeatureConfigLoaderService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: MenuManagerService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: PuzzleAlgorithmManagerService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: VariableSettingsConfigService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ZoomSettingsConfigService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: TreeManagerService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: AnnotationExtractorService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ComponentFactoryService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: FabricMenuHelperService;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: GameConfigurationComponent;0,0;-17,971000000000004;0,357;4,536;14692,966000000002;156,0;816,276;36,0;34,0;73,0;"['JIGSAW', 'ANTI-JIGSAW', 'JIGSAW2']","puzzleAlgorithmType",PuzzleGeneratorQuadroService2,"Old jigsaw","['JIGSAW2']",serviceToSkip,serviceToSkip4,serviceToSkip3,serviceToSkip2,EXPRESSION_START7,EXPRESSION_START8,EXPRESSION_START9,push,EXPRESSION_END9,EXPRESSION_END8,EXPRESSION_END7,"instance",drawBordersService,EXPRESSION_END11,EXPRESSION_END10,algorithms,"Anti jigsaw","---------------------------",drawBordersService2,EXPRESSION_START11,"name",EXPRESSION_START10,"EXPRESSION_END","['ANTI-JIGSAW']","Old jigsaw 2",shufflePuzzlesService,setAlgorithms,PuzzleGeneratorQuadroService,"['JIGSAW']";2,0;83,0;var,let;23,0;31,0;
CLASS: MaterialModule;0,0;0,0;9,999999999999974E-4;0,0;10,090000000000003;1,0;0,5609999999999999;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;0,0;0,0;;1,0;1,0;{};0,0;0,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;0,0;0,0;;1,0;1,0;{};0,0;0,0;
CLASS: RoutingModelMock;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;0,0;0,0;;1,0;1,0;{};0,0;0,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;0,0;0,0;;1,0;1,0;{};0,0;0,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;0,0;0,0;;1,0;1,0;{};0,0;0,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;0,0;0,0;;1,0;1,0;{};0,0;0,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;0,0;0,0;;1,0;1,0;{};0,0;0,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;0,0;0,0;;1,0;1,0;{};0,0;0,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;0,0;0,0;;1,0;1,0;{};0,0;0,0;
CLASS: AppComponent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DragAndDropImageComponent;0,0;0,0;0,0020000000000000018;0,0;126,125;1,0;7,007000000000062;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: ZoomBlockComponent;0,0;-3,5710000000000015;0,007000000000000003;0,0;50,503000000000014;4,0;2,806000000000001;2,0;2,0;2,0;"true","zoom";0,0;2,0;;0,0;1,0;
CLASS: ZoomMenuComponent;0,0;-0,8329999999999984;0,010000000000000009;-0,24799999999999933;105,35600000000068;4,0;5,853000000000009;2,0;2,0;2,0;"true","zoom";0,0;2,0;;0,0;1,0;
CLASS: GalleryBottomSheetComponent;0,0;-2,2220000000000013;0,008;-0,04699999999999971;67,90299999999996;4,0;3,7729999999999997;2,0;2,0;2,0;"imageGallery","true";0,0;2,0;;0,0;1,0;
CLASS: InsertTemplateImageBottomSheetComponent;0,0;0,0;0,0020000000000000018;0,0;14,934000000000026;1,0;0,8299999999999983;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: PuzzleChooserBottomSheetComponent;0,0;0,0;0,0020000000000000018;0,0;14,934000000000026;1,0;0,8299999999999983;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: TemplatePreviewBottomSheetComponent;0,0;0,0;0,0020000000000000018;0,0;14,934000000000026;1,0;0,8299999999999983;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: ZoomManagementBottomSheetComponent;0,0;0,0;0,0020000000000000018;0,0;14,934000000000026;1,0;0,8299999999999983;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: GalleryComponent;0,0;-2,2729999999999997;0,007000000000000006;-0,03200000000000003;83,16100000000006;4,0;4,619999999999997;2,0;2,0;2,0;"imageGallery","true";0,0;2,0;;0,0;1,0;
CLASS: InitialPageComponent;0,0;0,0;0,0020000000000000018;0,0;22,797000000000025;1,0;1,2660000000000053;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: InsertTemplateImageComponent;0,0;0,0;0,0010000000000000009;0,0;9,518;1,0;0,5280000000000005;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: PuzzleBoardComponent;0,0;0,0;0,0020000000000000018;0,0;20,161000000000058;1,0;1,1199999999999974;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: PuzzleBuilderComponent;0,0;0,0;0,0020000000000000018;0,0;9,766999999999996;1,0;0,543000000000001;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: PuzzleChooserComponent;0,0;0,0;0,0020000000000000018;0,0;24,49000000000001;1,0;1,3610000000000042;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: TemplatePreviewComponent;0,0;0,0;0,001999999999999988;0,0;32,67000000000007;1,0;1,8149999999999977;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
