Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;0,0;0,0;0,0;0,0;7,549000000000035;0,1999999999999993;0,41899999999999693;0,0;0,0;0,0;;0,0;0,20000000000000018;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app.module.ts;0,0;0,0;0,0020000000000000018;0,0;24,857999999999947;1,0;1,3810000000000002;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.ts;0,0;0,0;0,0;0,0;7,742000000000189;0,09100000000000108;0,4299999999999926;0,0;0,0;0,0;;0,0;0,08999999999999986;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.ts;0,0;0,0;0,0;0,0;5,949000000000012;0,16600000000000037;0,33000000000000185;0,0;0,0;0,0;;0,0;0,16699999999999982;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.ts;0,0;0,0;0,0010000000000000009;0,0;9,565000000000055;0,11100000000000065;0,5310000000000059;0,0;0,0;0,0;;0,0;0,11100000000000065;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.ts;0,0;0,0;0,0;0,0;5,212999999999994;0,33399999999999963;0,28999999999999915;0,0;0,0;0,0;;0,0;0,33399999999999963;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\effects\app.effects.ts;0,0;0,0;9,999999999999992E-4;0,0;4,205999999999989;0,25;0,23399999999999999;0,0;0,0;0,0;;0,0;0,25;;0,0;0,0;
