Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Method Name;Method Max Depth;Method Number Nested Methods;Method Parameter Names;Associated Class Name;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1;1,0;25,0;0,006;1,5;27,142;7,0;1,508;6,0;18,095;3,0;3,0;then,"./puzzle-builder/puzzle-builder.module",m;3,0;4,0;(),function=>,.;1,0;4,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1;1,0;100,0;0,002;0,5;2,377;3,0;0,132;3,0;4,755;2,0;2,0;PuzzleBuilderModule,m;1,0;1,0;.;1,0;1,0;<anon method-4>;0;0;m;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1;1,0;25,0;0,006;1,5;27,142;7,0;1,508;6,0;18,095;3,0;3,0;then,"./puzzle-builder/puzzle-builder.module",m;3,0;4,0;(),function=>,.;1,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1;1,0;100,0;0,002;0,5;2,377;3,0;0,132;3,0;4,755;2,0;2,0;PuzzleBuilderModule,m;1,0;1,0;.;1,0;1,0;<anon method-2>;0;0;m;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,MainNavigationComponent,componentInstance,createComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,MainNavigationComponent,ComponentFixture,it,"should create";3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,MainNavigationComponent,compileComponents,declarations;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
MainNavigationComponent;1;1,0;12,5;0,05;6,0;896,033;34,0;49,78;21,0;149,339;12,0;16,0;RoutingModelMock,candidates,candidate,router,RoutingModel,forEach,routingModelData,Routes,model,unshift,config,getRoutingModelData;9,0;18,0;(),forof,[],const,function=>,this,=,.,return;19,0;8,0;loadMenu;0;0;;MainNavigationComponent;
MainNavigationComponent;1;1,0;100,0;0,005;1,333;21,671;7,0;1,204;5,0;16,253;3,0;4,0;path,route,model;2,0;3,0;===,.;1,0;1,0;<anon method-2>;0;0;route;MainNavigationComponent;
MainNavigationComponent;1;1,0;50,0;0,007;2,0;41,359;8,0;2,298;6,0;20,68;2,0;2,0;routingModelData,loadMenu;4,0;6,0;(),this,=,.;1,0;2,0;constructor;0;0;bottomSheet,router;MainNavigationComponent;
MainNavigationComponent;1;1,0;100,0;0,004;1,5;17,414;5,0;0,967;5,0;11,61;2,0;2,0;RoutingModel,routingModelData;3,0;3,0;this,return,.;3,0;1,0;getMenu;0;0;;MainNavigationComponent;
MainNavigationComponent;1;2,0;25,0;0,059;6,333;1117,621;38,0;62,09;25,0;176,467;15,0;19,0;componentPathInModule,"path",length,componentRef,push,filter,0,candidates,router,"component",route,model,matched,config,Route;10,0;19,0;(),{},const,this,function=>,:,=,if,===,.;10,0;8,0;<anon method-1>;0;0;model;MainNavigationComponent;
MainNavigationComponent;1;1,0;50,0;0,006;1,0;18,095;7,0;1,005;6,0;18,095;4,0;4,0;add,zoomContentDiv,"hide-zoom-content",classList;2,0;3,0;(),.;1,0;2,0;<anon method-3>;0;0;zoomContentDiv;MainNavigationComponent;
MainNavigationComponent;1;1,0;50,0;0,006;1,0;18,095;7,0;1,005;6,0;18,095;4,0;4,0;zoomContentDiv,"hide-zoom-content",classList,remove;2,0;3,0;(),.;1,0;2,0;<anon method-4>;0;0;zoomContentDiv;MainNavigationComponent;
MainNavigationComponent;1;1,0;50,0;0,01;1,5;46,321;11,0;2,573;7,0;30,881;4,0;4,0;bottomSheet,bottomSheetComponent,loadingFromOtherModuleFix,open;3,0;7,0;(),this,.;4,0;2,0;openBottomSheet;0;0;bottomSheetComponent;MainNavigationComponent;
MainNavigationComponent;1;2,0;16,667;0,056;7,0;1173,102;41,0;65,172;17,0;167,586;10,0;20,0;Array,$event,"zoom-content",zoomContentDiv,forEach,document,checked,zoomContents,getElementsByClassName,from;7,0;21,0;(),const,else,function=>,if,=,.;10,0;12,0;toggleZoom;0;0;$event;MainNavigationComponent;
MainNavigationComponent;1;2,0;66,667;0,025;3,429;253,744;20,0;14,097;13,0;74,009;7,0;8,0;navigateByUrl,1,router,"/puzzle","/puzzle/",indexOf,url;6,0;12,0;(),- (prefix),this,if,===,.;5,0;3,0;loadingFromOtherModuleFix;0;0;;MainNavigationComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,ComponentFixture,SmallMainMenuComponent,it,"should create";3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,SmallMainMenuComponent,compileComponents,declarations;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,SmallMainMenuComponent,componentInstance,createComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
