Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
CLASS: AppRoutingModule;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: AppModule;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: MainNavigationComponent;1;1,3;52,083;0,023;3,11;360,346;17,8;20,019;11,1;68,301;6,3;8,3;;4,8;9,5;;5,5;4,1;
CLASS: SmallMainMenuComponent;1;1,2;43,333;0,011;1,586;78,542;10,6;4,363;6,8;33,33;3,8;4,0;;3,0;6,6;;3,6;1,8;
CLASS: DragAndDropDirective;1;1,375;33,439;0,028;2,592;380,382;20,125;21,132;12,5;83,215;8,125;9,625;;4,375;10,5;;6,0;4,5;
CLASS: RemoveDirective;1;1,0;75,0;0,006;1,25;23,81;7,0;1,323;6,0;18,195;3,5;3,5;;2,5;3,5;;4,0;1,5;
CLASS: AppEffects;1;1,0;17,778;0,007;1,167;36,545;6,333;2,03;5,333;19,565;3,0;3,0;;2,333;3,333;;1,0;2,667;
CLASS: DecoratorTypesService;0;1,0;21,429;0,002;0,857;13,235;3,0;0,735;1,929;6,617;1,071;2,143;;0,857;0,857;;2,786;0,857;
CLASS: ServiceToSkipService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;
CLASS: FeatureConfigLoaderService;0;3,25;35,897;0,046;5,687;1916,047;28,5;106,447;15,25;137,509;8,5;14,25;;6,75;14,25;;9,5;5,25;
CLASS: MenuManagerService;0;2,2;25,0;0,063;6,288;1427,216;41,3;79,29;20,7;188,596;12,6;19,4;;8,1;21,9;;10,9;7,4;
CLASS: PuzzleAlgorithmManagerService;0;2,333;12,338;0,098;5,935;3239,493;56,0;179,972;22,667;292,514;15,333;25,333;;7,333;30,667;;22,0;9,667;
CLASS: VariableSettingsConfigService;0;3,25;34,031;0,084;6,88;2166,006;48,875;120,334;27,125;251,233;17,875;25,75;;9,25;23,125;;16,625;11,375;
CLASS: ZoomSettingsConfigService;0;1,467;33,868;0,032;3,741;556,062;23,067;30,892;14,2;96,341;8,8;12,0;;5,4;11,067;;7,533;4,667;
CLASS: TreeManagerService;0;1,0;100,0;0,007;1,5;33,688;8,0;1,872;7,0;22,459;4,0;4,0;;3,0;4,0;;6,0;1,0;
CLASS: AnnotationExtractorService;0;3,4;37,359;0,049;7,585;1647,036;34,2;91,502;13,8;147,003;7,2;17,4;;6,6;16,8;;11,0;6,8;
CLASS: ComponentFactoryService;0;2,5;13,333;0,067;5,042;2017,091;39,0;112,061;17,5;200,042;12,0;22,0;;5,5;17,0;;17,5;7,5;
CLASS: FabricMenuHelperService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;
CLASS: GameConfigurationComponent;12;1,333;31,075;0,12;5,494;2938,851;69,667;163,269;26,0;358,619;18,333;28,667;;7,667;41,0;;11,667;12,667;
CLASS: MaterialModule;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: RoutingModelMock;7;1,0;100,0;0,002;0,5;2,377;3,0;0,132;3,0;4,755;2,0;2,0;;1,0;1,0;;3,0;1,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
