Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
CLASS: AppRoutingModule;1;0,0;0,0;0,017;2,917;151,35;15,0;8,408;11,0;51,891;6,0;7,0;;5,0;8,0;;6,0;4,0;
CLASS: AppModule;1;1,0;12,5;0,092;4,348;1206,239;56,0;67,013;31,0;277,435;23,0;25,0;;8,0;31,0;;22,0;8,0;
CLASS: MainNavigationComponent;1;1,182;2,317;0,038;1,179;1485,82;18,455;82,546;6,727;114,593;5,364;9,273;;1,364;9,182;;4,545;4,636;
CLASS: SmallMainMenuComponent;1;1,0;5,556;0,02;1,063;391,256;12,167;21,736;5,5;61,373;4,0;5,667;;1,5;6,5;;4,167;3,0;
CLASS: DragAndDropDirective;1;1,222;2,657;0,043;1,496;1717,744;21,111;95,43;7,333;127,604;5,778;11,111;;1,556;10,0;;6,0;5,111;
CLASS: RemoveDirective;1;0,667;11,111;0,009;1,111;93,069;7,333;5,17;4,667;27,921;3,0;4,0;;1,667;3,333;;3,333;2,0;
CLASS: AppEffects;1;0,75;6,25;0,01;0,808;92,637;6,75;5,147;4,75;28,674;3,25;3,5;;1,5;3,25;;1,25;3,0;
CLASS: DecoratorTypesService;0;0,933;4,242;0,009;0,688;265,072;5,467;14,726;1,733;25,696;1,267;3,733;;0,467;1,733;;2,133;1,467;
CLASS: ServiceToSkipService;0;0,5;16,667;0,003;0,75;14,739;3,5;0,819;3,5;9,826;2,0;2,0;;1,5;1,5;;3,0;1,5;
CLASS: FeatureConfigLoaderService;0;2,6;10,0;0,051;4,8;3655,38;26,0;203,077;11,6;152,308;6,8;13,6;;4,8;12,4;;7,8;5,2;
CLASS: MenuManagerService;0;2,0;2,439;0,078;3,829;9804,94;40,455;544,719;4,909;232,811;3,545;19,909;;1,364;20,545;;8,909;7,455;
CLASS: PuzzleAlgorithmManagerService;0;1,75;5,303;0,09;3,58;3879,248;46,25;215,514;14,5;270,932;11,0;22,5;;3,5;23,75;;11,0;8,25;
CLASS: VariableSettingsConfigService;0;2,889;2,948;0,095;3,582;9193,355;45,778;510,742;8,333;285,141;6,444;24,444;;1,889;21,333;;11,556;10,889;
CLASS: ZoomSettingsConfigService;0;1,375;1,741;0,05;1,553;3702,552;23,438;205,697;5,125;149,005;4,125;12,813;;1,0;10,625;;4,813;4,938;
CLASS: TreeManagerService;0;0,5;1,471;0,142;2,727;2318,63;81,0;128,813;19,0;425,082;16,5;36,0;;2,5;45,0;;12,0;17,0;
CLASS: AnnotationExtractorService;0;2,833;7,083;0,058;4,799;5009,342;30,667;278,297;8,5;173,954;5,333;16,167;;3,167;14,5;;9,167;6,667;
CLASS: ComponentFactoryService;0;1,667;8,772;0,058;4,667;2456,289;32,333;136,461;14,333;175,449;9,667;19,333;;4,667;13,0;;16,0;6,333;
CLASS: FabricMenuHelperService;0;0,5;16,667;0,003;0,75;14,739;3,5;0,819;3,5;9,826;2,0;2,0;;1,5;1,5;;3,0;1,5;
CLASS: GameConfigurationComponent;12;1,0;3,846;0,088;2,844;3002,065;44,5;166,781;15,25;263,918;12,0;21,0;;3,25;23,5;;7,5;6,5;
CLASS: MaterialModule;1;0,0;0,0;0,011;2,5;82,5;11,0;4,583;8,0;33,0;4,0;5,0;;4,0;6,0;;6,0;3,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: RoutingModelMock;7;0,5;25,0;0,002;0,5;5,805;2,5;0,322;2,5;5,805;1,5;1,5;;1,0;1,0;;2,5;1,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: AppComponent;3;0,5;10,0;0,011;1,0;66,417;8,5;3,69;7,5;33,209;5,5;5,5;;2,0;3,0;;4,5;2,5;
