Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1;5,0;20,0;0,112;7,619;2566,746;68,0;142,597;31,0;336,885;21,0;32,0;"",imports,RouterModule,exports,wholeBlockFile,Routes,loadChildren,then,PuzzleBuilderComponent,NgModule,"./puzzle-builder/puzzle-builder.module",m,routes,path,AppRoutingModule,component,PuzzleBuilderModule,DecoratorTypesService,InitialPageComponent,forRoot,"puzzle";10,0;36,0;(),[],{},const,function=>,:,,,=,class,.;25,0;25,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app.module.ts;1;2,0;20,0;0,108;4,846;1566,01;63,0;87,001;35,0;323,145;26,0;28,0;AppModule,AppEffects,MainNavigationComponent,production,SmallMainMenuComponent,wholeBlockFile,instrument,NgModule,bootstrap,StoreDevtoolsModule,AppRoutingModule,PuzzleBuilderModule,DecoratorTypesService,InitialPageComponent,forRoot,imports,EffectsModule,StoreModule,MaterialModule,declarations,BrowserAnimationsModule,environment,AppComponent,reducers,FlexLayoutModule,providers;9,0;35,0;(),{},[],:?,! (prefix),:,,,class,.;41,0;10,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0;5,0;25,0;0,086;6,222;1608,595;55,0;89,366;26,0;258,524;18,0;28,0;TestBed,beforeEach,detectChanges,MainNavigationComponent,toBeTruthy,it,"should create",declarations,fixture,expect,component,configureTestingModule,ComponentFixture,componentInstance,describe,createComponent,compileComponents,"MainNavigationComponent";8,0;27,0;(),{},[],function=>,let,:,=,.;21,0;20,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.ts;1;14,0;26,415;0,44;13,548;17882,983;210,0;993,499;78,0;1319,934;62,0;105,0;"./main-navigation.component.scss",RoutingModel,componentPathInModule,"/puzzle",loadingFromOtherModuleFix,wholeBlockFile,RoutingModelMock,path,router,DecoratorTypesService,checked,model,from,loadMenu,indexOf,"app-main-navigation",Route,add,navigateByUrl,bottomSheetComponent,constructor,Routes,getRoutingModelData,push,styleUrls,0,candidates,1,route,"zoom-content",matched,"./main-navigation.component.html",$event,MainNavigationComponent,document,remove,candidate,"component",getMenu,routingModelData,zoomContents,selector,Component,classList,forEach,"path",length,componentRef,openBottomSheet,"hide-zoom-content",url,templateUrl,filter,Array,bottomSheet,toggleZoom,zoomContentDiv,"/puzzle/",unshift,getElementsByClassName,config,open;16,0;105,0;(),[],{},const,- (prefix),this,.,forof,else,function=>,:,class,=,===,if,return;59,0;53,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;5,0;25,0;0,086;6,222;1608,595;55,0;89,366;26,0;258,524;18,0;28,0;TestBed,beforeEach,detectChanges,SmallMainMenuComponent,toBeTruthy,it,"should create",declarations,fixture,expect,component,configureTestingModule,ComponentFixture,componentInstance,"SmallMainMenuComponent",describe,createComponent,compileComponents;8,0;27,0;(),{},[],function=>,let,:,=,.;21,0;20,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.ts;1;7,0;35,0;0,139;6,852;2855,552;80,0;158,642;37,0;416,756;27,0;37,0;TemplatePreviewBottomSheetComponent,SmallMainMenuComponent,"/puzzle",loadingFromOtherModuleFix,wholeBlockFile,openPuzzleChooserBottomSheet,openTemplatePreviewBottomSheet,router,DecoratorTypesService,"app-small-main-menu",selector,Component,indexOf,"./small-main-menu.component.scss",navigateByUrl,constructor,InsertTemplateImageBottomSheetComponent,url,"./small-main-menu.component.html",styleUrls,templateUrl,bottomSheet,1,openInsertTemplateImageBottomSheet,"/puzzle/",open,PuzzleChooserBottomSheetComponent;10,0;43,0;(),{},[],- (prefix),this,:,class,if,===,.;34,0;20,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0;3,0;42,857;0,024;3,375;244,147;19,0;13,564;14,0;72,34;8,0;9,0;expect,"should create an instance",toBeTruthy,"DragAndDropDirective",DragAndDropDirective,describe,it,directive;6,0;10,0;(),new,const,function=>,=,.;8,0;7,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.ts;1;12,0;25,0;0,402;14,045;16959,448;197,0;942,192;70,0;1207,469;55,0;103,0;"Error: null transfer!",wholeBlockFile,"drop","[appDragAndDrop]",router,DecoratorTypesService,from,"under",element,navigate,add,"dragleave",FileList,constructor,HostBinding,HostListener,"dragover",0,null,true,files,"image-dragged",Directive,dataTransfer,log,document,DragAndDropDirective,onDragOver,onDragLeave,remove,fileDropped,EventEmitter,fileOver,Output,"$event",selector,event,imageFileUnder,preventDefault,classList,apart,console,"class.fileover","drop-puzzle-block",forEach,false,length,stopPropagation,Array,onDrop,elements,"/puzzle/selectPuzzles",getElementsByClassName,emit,imageFileApart;15,0;94,0;(),new,!==,[],{},const,this,.,else,function=>,:,class,if,=,>;59,0;48,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0;3,0;42,857;0,024;3,375;244,147;19,0;13,564;14,0;72,34;8,0;9,0;expect,"should create an instance",RemoveDirective,toBeTruthy,describe,it,"RemoveDirective",directive;6,0;10,0;(),new,const,function=>,=,.;8,0;7,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.ts;1;3,0;37,5;0,04;3,75;453,479;29,0;25,193;18,0;120,928;12,0;15,0;RemoveDirective,DecoratorTypesService,constructor,wholeBlockFile,"click",selector,Directive,remove,"[appRemove]",element,nativeElement,addEventListener;6,0;14,0;(),{},function=>,:,class,.;14,0;8,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\effects\app.effects.ts;1;4,0;28,571;0,051;3,719;571,948;34,0;31,775;23,0;153,801;16,0;17,0;Injectable,AppEffects,puzzles,constructor,PuzzleMock,wholeBlockFile,actions$,init$,loadPuzzles,createEffect,DecoratorTypesService,ROOT_EFFECTS_INIT,pipe,map,ofType,_;7,0;17,0;(),{},function=>,this,:,class,.;13,0;14,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.spec.ts;0;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;TestBed,"should be created",beforeEach,expect,configureTestingModule,"DecoratorTypesService",service,toBeTruthy,DecoratorTypesService,describe,it,inject;6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.ts;0;15,0;65,217;0,135;11,4;4603,523;84,0;255,751;28,0;403,818;20,0;57,0;propertyKey,Injectable,"root",skipLineVariableDeclaration,wholeBlockMethod,constructor,wholeBlockFile,skipLineParameter,descriptor,wholeInitialization,skipLineFile,target,providedIn,null,skipLineClassVariableDeclaration,DecoratorTypesService,arg0,commentedLine,parameterIndex,key;8,0;27,0;(),{},static,function=>,:,class,=,return;34,0;23,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.spec.ts;0;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;TestBed,"should be created",beforeEach,expect,configureTestingModule,"ServiceToSkipService",service,toBeTruthy,ServiceToSkipService,describe,it,inject;6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.ts;0;2,0;50,0;0,01;2,0;57,059;9,0;3,17;9,0;28,529;5,0;5,0;Injectable,"root",providedIn,ServiceToSkipService,constructor;4,0;4,0;(),{},:,class;8,0;4,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\designPatternsModels\decorator.ts;0;1,0;0,0;0,003;0,0;0,0;4,0;0,0;4,0;8,0;4,0;4,0;Decorator,getDecorated,decorated,setDecorated;0,0;0,0;;5,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.spec.ts;0;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;TestBed,"should be created",beforeEach,expect,"FeatureConfigLoaderService",configureTestingModule,service,toBeTruthy,describe,it,FeatureConfigLoaderService,inject;6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;
