Form number;Complexity name;Statistics;p-value;p-value > 0.05;;;;;Form number;Complexity name;Statistics W;p-value;p-value > 0.05
1;Class.Maintainability;0.8747;2.6259E-06;FALSE;;;;;1;Class Maintainability;0.8747;2.6259E-06;FALSE
2;Class.Maintainability;0.8754;2.7708E-06;FALSE;;;;;2;Class Maintainability;0.8754;2.7708E-06;FALSE
3;Class.Maintainability;0.8754;2.7645E-06;FALSE;;;;;3;Class Maintainability;0.8754;2.7645E-06;FALSE
4;Class.Maintainability;0.8763;2.9801E-06;FALSE;;;;;4;Class Maintainability;0.8763;2.9801E-06;FALSE
5;Class.Maintainability;0.8745;2.5767E-06;FALSE;;;;;5;Class Maintainability;0.8745;2.5767E-06;FALSE
1;Class.number.methods;0.8215;4.9815E-08;FALSE;;;;;1;Class number methods;0.8215;4.9815E-08;FALSE
2;Class.number.methods;0.8215;4.9815E-08;FALSE;;;;;2;Class number methods;0.8215;4.9815E-08;FALSE
3;Class.number.methods;0.8215;4.9815E-08;FALSE;;;;;3;Class number methods;0.8215;4.9815E-08;FALSE
4;Class.number.methods;0.8215;4.9815E-08;FALSE;;;;;4;Class number methods;0.8215;4.9815E-08;FALSE
5;Class.number.methods;0.8215;4.9815E-08;FALSE;;;;;5;Class number methods;0.8215;4.9815E-08;FALSE
1;Cycl..Density;0.8814;4.5946E-06;FALSE;;;;;1;Cycl. Density;0.8814;4.5946E-06;FALSE
2;Cycl..Density;0.8808;4.3564E-06;FALSE;;;;;2;Cycl. Density;0.8808;4.3564E-06;FALSE
3;Cycl..Density;0.8839;5.7048E-06;FALSE;;;;;3;Cycl. Density;0.8839;5.7048E-06;FALSE
4;Cycl..Density;0.8768;3.1165E-06;FALSE;;;;;4;Cycl. Density;0.8768;3.1165E-06;FALSE
5;Cycl..Density;0.8813;4.5506E-06;FALSE;;;;;5;Cycl. Density;0.8813;4.5506E-06;FALSE
1;Cycl..Number;0.7540;8.3624E-10;FALSE;;;;;1;Cycl. Number;0.7540;8.3624E-10;FALSE
2;Cycl..Number;0.7540;8.3624E-10;FALSE;;;;;2;Cycl. Number;0.7540;8.3624E-10;FALSE
3;Cycl..Number;0.7540;8.3624E-10;FALSE;;;;;3;Cycl. Number;0.7540;8.3624E-10;FALSE
4;Cycl..Number;0.7540;8.3624E-10;FALSE;;;;;4;Cycl. Number;0.7540;8.3624E-10;FALSE
5;Cycl..Number;0.7540;8.3624E-10;FALSE;;;;;5;Cycl. Number;0.7540;8.3624E-10;FALSE
1;Halstead.Bugs;0.6082;9.4848E-13;FALSE;;;;;1;Halstead Bugs;0.6082;9.4848E-13;FALSE
2;Halstead.Bugs;0.6058;8.5940E-13;FALSE;;;;;2;Halstead Bugs;0.6058;8.5940E-13;FALSE
3;Halstead.Bugs;0.6070;9.0388E-13;FALSE;;;;;3;Halstead Bugs;0.6070;9.0388E-13;FALSE
4;Halstead.Bugs;0.5980;6.3182E-13;FALSE;;;;;4;Halstead Bugs;0.5980;6.3182E-13;FALSE
5;Halstead.Bugs;0.6087;9.6778E-13;FALSE;;;;;5;Halstead Bugs;0.6087;9.6778E-13;FALSE
1;Halstead.Difficulty;0.6302;2.3234E-12;FALSE;;;;;1;Halstead Difficulty;0.6302;2.3234E-12;FALSE
2;Halstead.Difficulty;0.6330;2.6107E-12;FALSE;;;;;2;Halstead Difficulty;0.6330;2.6107E-12;FALSE
3;Halstead.Difficulty;0.6475;4.8319E-12;FALSE;;;;;3;Halstead Difficulty;0.6475;4.8319E-12;FALSE
4;Halstead.Difficulty;0.6477;4.8812E-12;FALSE;;;;;4;Halstead Difficulty;0.6477;4.8812E-12;FALSE
5;Halstead.Difficulty;0.6303;2.3370E-12;FALSE;;;;;5;Halstead Difficulty;0.6303;2.3370E-12;FALSE
1;Halstead.Effort;0.3859;5.1775E-16;FALSE;;;;;1;Halstead Effort;0.3859;5.1775E-16;FALSE
2;Halstead.Effort;0.3839;4.8949E-16;FALSE;;;;;2;Halstead Effort;0.3839;4.8949E-16;FALSE
3;Halstead.Effort;0.3848;5.0211E-16;FALSE;;;;;3;Halstead Effort;0.3848;5.0211E-16;FALSE
4;Halstead.Effort;0.3811;4.5189E-16;FALSE;;;;;4;Halstead Effort;0.3811;4.5189E-16;FALSE
