ComparedName;Correlation;Statistics W;p-value;Confidence Interval Start;Confidence Interval End;Estimate;p-value > 0.05
Cycl. Number;1.0000;0;1;NaN;NaN;NaN;TRUE
Cycl. Density;0.9941;0;1.09E-03;-1.8580;-0.5390;-1.1611;FALSE
Halstead Bugs;0.9991;2628;1.13E-13;0.0020;0.0025;0.0020;FALSE
Halstead Difficulty;0.9992;212;3.53E-01;-0.1880;0.4069;0.1766;TRUE
Halstead Effort;0.9972;2350;6.06E-09;34.5010;74.6175;55.9276;FALSE
Halstead Length;0.9992;2628;2.87E-15;1.0000;1.0001;1.0001;FALSE
Halstead Time;0.9972;2350;6.06E-09;1.9160;4.1455;3.1074;FALSE
Halstead Vocabulary;0.9988;378;3.71E-06;1.5000;2.0001;1.5000;FALSE
Halstea Operands Distinct;0.9996;105;5.46E-04;2.0000;3.0000;2.0001;FALSE
Halstead Operands Total;0.9998;105;6.60E-04;2.0000;6.0000;2.0001;FALSE
Halstead Operators Distinct;0.9993;91;3.63E-04;NaN;NaN;1.0000;FALSE
Halstead Operators Total;0.9987;2628;2.87E-15;1.0000;1.0001;1.0001;FALSE
LOC Physical;1.0000;0;1;NaN;NaN;NaN;TRUE
LOC Logical;0.9997;105;6.58E-04;1.0000;4.0000;1.0001;FALSE
Class Maintainability;0.9995;0;1.81E-01;-2.9439;-1.5461;-2.1271;TRUE
