"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors";"0.999885116893561";"0";"1";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"-2"
"Cycl..Number";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Density";"0.968922309718263";"0";"2.44463186208666e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2.20994172977331";"-1.09450704368089";"-1.56395600065725"
"Halstead.Bugs";"0.998487169816983";"2628";"1.611880135478e-13";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0.0100406807023969";"0.0130419181079065";"0.0115043259847244"
"Halstead.Difficulty";"0.996589122032299";"1146";"0.346878814932203";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.242973948193256";"0.205459759470849";"-0.110960422687689"
"Halstead.Effort";"0.996440541894432";"2110";"7.91757610445218e-06";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"65.2909878160946";"123.286059756392";"90.9734602295353"
"Halstead.Length";"0.998613838586073";"2628";"2.87473468806574e-15";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"5";"5.000054610675";"5.00006415505472"
"Halstead.Time";"0.996440541894432";"2110";"7.91757610445218e-06";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"3.6269838601362";"6.84901940635561";"5.05392263389719"
"Halstead.Vocabulary";"0.996682891131774";"2628";"5.15138658085139e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2.50003453622476";"3.49996305141081";"3.00004959972157"
"Halstead.Identifiers.Distinct";"0.997184027355309";"2628";"2.87473468806574e-15";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"2.0000541865931";"2.00008353446926"
"Halstead.Identifiers.Total";"0.999128611225795";"2628";"2.87432356394995e-15";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"2.00005450243609";"2.00005761403002"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.995549438875695";"276";"1.58774882542681e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1.99996302023495";"2.99994168663867";"2.00004370181688"
"Halstead.Identifiers.Total.1";"0.995485882657271";"2628";"2.87473468806574e-15";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"3";"3.00006406685991";"3.00007053359742"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"0.998443075437979";"2701";"1.16097158988699e-16";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1";"1";"1"
"LOC.Logical";"0.999016223688449";"2628";"2.87473468806574e-15";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1";"1.00006859828394";"1.00007501206398"
"Class.Name";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Class.Maintainability";"0.99733141113139";"0";"0.18144920772142";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-14.3509222463399";"-4.88707775366005";"-9.95676874879203"
"Class.number.methods";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
