Compared Name;Correlation;Statistics W;p-value;Confidence Interval Start;Confidence Interval End;Estimate;p>0.05
Cyclomatic Number;1.0000;0;1.00000E+00;NaN;NaN;NaN;TRUE
Cyclomatic Density;0.9941;0;1.09084E-03;-1.8580;-0.5390;-1.1611;FALSE
Halstead Bugs;0.9991;2628;1.12508E-13;0.0020;0.0025;0.0020;FALSE
Halstead Difficulty;0.9992;212;3.53363E-01;-0.1880;0.4069;0.1766;TRUE
Halstead Effort;0.9972;2350;6.05606E-09;34.5010;74.6175;55.9276;FALSE
Halstead Length;0.9992;2628;2.87473E-15;1.0000;1.0001;1.0001;FALSE
Halstead Time;0.9972;2350;6.05606E-09;1.9160;4.1455;3.1074;FALSE
Halstead Vocabulary;0.9988;378;3.70558E-06;1.5000;2.0001;1.5000;FALSE
Halstead Identifiers Distinct Operands;0.9996;105;5.46069E-04;2.0000;3.0000;2.0001;FALSE
Halstead Identifiers Total Operands;0.9998;105;6.59899E-04;2.0000;6.0000;2.0001;FALSE
Halstead Identifiers Distinct Operators;0.9993;91;3.62568E-04;NaN;NaN;1.0000;FALSE
Halstead Identifiers Total Operators;0.9987;2628;2.87473E-15;1.0000;1.0001;1.0001;FALSE
LOC Physical;1.0000;0;1.00000E+00;NaN;NaN;NaN;TRUE
LOC Logical;0.9997;105;6.57694E-04;1.0000;4.0000;1.0001;FALSE
Class Maintainability;0.9995;0;1.81449E-01;-2.9439;-1.5461;-2.1271;TRUE
Class Number Methods;1.0000;0;1.00000E+00;NaN;NaN;NaN;TRUE
