comparedName;correlation;statistics W;p.value;Confidence.interval.start;confidence.interval.end;estimate;p>0.05
Overall.file.decorastors;1;0;1;NaN;NaN;NaN;TRUE
Cycl..Number;1;0;1;NaN;NaN;NaN;TRUE
Cycl..Density;0.989654531;0;0.000213352;-2.116520382;-0.768954528;-1.411012789;FALSE
Halstead.Bugs;0.998892206;2926;2.00E-14;0.001945907;0.004508302;0.002043046;FALSE
Halstead.Difficulty;0.997571544;294;0.038957897;0.067529366;0.588489302;0.326457094;FALSE
Halstead.Effort;0.999193253;2652;7.58E-10;57.40851308;103.2454582;79.74952659;FALSE
Halstead.Length;0.998816929;2926;1.25E-15;1;2.499979194;1.000089865;FALSE
Halstead.Time;0.999193253;2652;7.58E-10;3.18956447;5.735984378;4.43083716;FALSE
Halstead.Vocabulary;0.99898762;435;1.97E-06;1.500056956;3.499954009;1.999962163;FALSE
Halstead.Identifiers.Distinct;0.998405737;171;0.000137952;2;4.000004786;3.500056778;FALSE
Halstead.Identifiers.Total;0.998133091;171;0.000157938;2;13.49998848;9.000016643;FALSE
Halstead.Identifiers.Distinct.1;0.999285206;66;0.001089347;NaN;NaN;1;FALSE
Halstead.Identifiers.Total.1;0.998177677;2926;1.25E-15;1;1.499987651;1.000050629;FALSE
LOC.Physical;1;0;NaN;NaN;NaN;NaN;TRUE
LOC.Logical;0.997752086;171;0.00015853;1;7.00004627;5.000024566;FALSE
