comparedName;correlation;statistics W;p.value;confidence.interval.start;confidence.interval.end;estimate;p > 0.05
Cycl..Number;1;0;1;NaN;NaN;NaN;TRUE
Cycl..Density;0.822627696;0;3.58E-13;-4.195943254;-2.283458673;-3.02347905;FALSE
Halstead.Bugs;0.999699145;2556;2.45E-13;0.013001764;0.01548986;0.014071601;FALSE
Halstead.Difficulty;0.997058704;2237;5.93E-09;0.602446414;0.803481326;0.738993868;FALSE
Halstead.Effort;0.998824141;2386;2.21E-10;503.0364562;1493.101517;841.6983394;FALSE
Halstead.Length;0.999712809;2556;9.34E-17;6;6;6;FALSE
Halstead.Time;0.998824141;2386;2.21E-10;27.946496;82.95006642;46.76091096;FALSE
Halstead.Vocabulary;0.999350177;2483.5;4.21E-14;2.999978784;3.499947694;3.000042834;FALSE
Halstead.Identifiers.Distinct;0.999596347;2415;2.57E-16;2;2;2;FALSE
Halstead.Identifiers.Total;0.999870078;2556;9.34E-17;2;2;2;FALSE
Halstead.Identifiers.Distinct.1;0.988610439;2030;2.14E-12;1.000028826;1.499964377;1.000028445;FALSE
Halstead.Identifiers.Total.1;0.9998904;2485;9.85E-17;4;4;4;FALSE
LOC.Physical;0.999815237;2556;2.16E-16;1;1;1;FALSE
LOC.Logical;0.999856119;2485;9.85E-17;2;2;2;FALSE
