"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors";NA;"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Number";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Density";"0.959911640800951";"0";"3.52693810674457e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4.3449958709544";"-1.77900722829317";"-2.76501306630464"
"Halstead.Bugs";"0.999587622825266";"2080";"3.53180930325095e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0.0109837384967896";"0.0125942771550466";"0.0115291715841295"
"Halstead.Difficulty";"0.998693416301629";"765";"0.0663451661180152";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.291553984224578";"0.0280183163846603";"-0.176041371587194"
"Halstead.Effort";"0.99938163401751";"1666";"2.87466561032997e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"98.0009671177845";"147.071001458529";"122.243281303412"
"Halstead.Length";"0.999770900724086";"2080";"5.09559008913907e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"5";"5.00007108017961";"5"
"Halstead.Time";"0.99938163401751";"1666";"2.87466561032997e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"5.44399762421505";"8.17105163724386";"6.79519771884453"
"Halstead.Vocabulary";"0.998498725407715";"2080";"8.09086100890211e-13";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2.00009367567548";"3.00005054368718";"2.99996577712098"
"Halstead.Volume";"0.999576193721709";"2080";"3.5991707211043e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"32.4974256782511";"38.024049437401";"35.1639111602528"
"Halstead.Identifiers.Distinct";"0.999151634659258";"2080";"5.09559008913907e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"2.00009477357282";"2"
"Halstead.Identifiers.Total";"0.999221083302309";"2080";"5.09559008913907e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"2.00009477357282";"2"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.997454438026529";"136";"0.000302450385270642";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1.99992432250479";"3";"2.00002944390733"
"Halstead.Identifiers.Total.1";"0.999701280687888";"2080";"5.09559008913907e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"3";"3.00009477357282";"3"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"1";"2080";"1.28365972221197e-15";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"2"
"LOC.Logical";"0.999505750201245";"2080";"5.09559008913907e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1";"1.00009477357282";"1"
"X";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
