"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Number";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Density";"0.822627696367828";"0";"3.57755935999764e-13";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4.195943254298";"-2.28345867329489";"-3.02347904969357"
"Halstead.Bugs";"0.999699145299145";"2556";"2.45263776554062e-13";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0.0130017635020964";"0.0154898603936838";"0.0140716008197156"
"Halstead.Difficulty";"0.99705870365926";"2237";"5.92977465820808e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0.602446413864129";"0.803481326140754";"0.738993868109216"
"Halstead.Effort";"0.998824140665591";"2386";"2.21057814181723e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"503.03645622131";"1493.10151725618";"841.698339362064"
"Halstead.Length";"0.999712808730614";"2556";"9.33823972740268e-17";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"6";"6";"6"
"Halstead.Time";"0.998824140665591";"2386";"2.21057814181723e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"27.9464960031756";"82.9500664223932";"46.760910959052"
"Halstead.Vocabulary";"0.999350176913858";"2483.5";"4.21157419523071e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2.99997878410998";"3.49994769381783";"3.00004283431762"
"Halstead.Volume";"0.999699157641396";"2556";"2.4760950418874e-13";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"39.3214799932";"45.9590423696999";"42.2362536049733"
"Halstead.Identifiers.Distinct";"0.999596347179457";"2415";"2.5712545672877e-16";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"2";"2"
"Halstead.Identifiers.Total";"0.99987007805926";"2556";"9.33823972740268e-17";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"2";"2"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.9886104389544";"2030";"2.14100076414491e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1.00002882631351";"1.4999643767655";"1.00002844494316"
"Halstead.Identifiers.Total.1";"0.999890399722058";"2485";"9.8501970493431e-17";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"4";"4";"4"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"0.999815237390067";"2556";"2.15627466308433e-16";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1";"1";"1"
"LOC.Logical";"0.999856118652112";"2485";"9.8501970493431e-17";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"2";"2"
"X";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
