"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Number";NA;"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Density";"0.974819516413328";"2485";"3.57755935999764e-13";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2.28345867329489";"4.195943254298";"3.02347904969357"
"Halstead.Bugs";"0.961964419332147";"0";"2.45346214893631e-13";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.0154533086740987";"-0.013022260508212";"-0.0140151566256876"
"Halstead.Difficulty";"0.839937030335857";"248";"5.92977465820808e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.803481326140754";"-0.602446413864129";"-0.738993868109216"
"Halstead.Effort";"0.188657059257841";"170";"2.21057814181723e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1493.10151725619";"-503.036456221313";"-841.698339362067"
"Halstead.Length";"0.963705404514116";"0";"9.33823972740268e-17";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-6";"-6";"-6"
"Halstead.Time";"0.188657059257841";"170";"2.21057814181723e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-82.9500664223932";"-27.9464960031756";"-46.760910959052"
"Halstead.Vocabulary";"0.851728467788973";"1.5";"4.21157419523071e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-3.49994769381783";"-2.99997878410998";"-3.00003102633961"
"Halstead.Identifiers.Distinct";"0.972405003412334";"0";"2.5712545672877e-16";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2";"-2";"-2"
"Halstead.Identifiers.Total";"0.972392991219805";"0";"9.33823972740268e-17";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2";"-2";"-2"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.511629153262";"50";"2.14100076414491e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.4999643767655";"-1.00002882631351";"-1.00002844494316"
"Halstead.Identifiers.Total.1";"0.963705871623981";"0";"9.8501970493431e-17";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4";"-4";"-4"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"0.899515922672697";"0";"1.43495438255213e-16";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1";"-1";"-1"
"LOC.Logical";"0.963718183351008";"0";"9.8501970493431e-17";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2";"-2";"-2"
"X";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
