"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Number";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Density";"0.994092215786914";"0";"0.0010908351761253";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.85797689224183";"-0.539026668217029";"-1.16105527581497"
"Halstead.Bugs";"0.999135564289632";"2628";"1.12507916357807e-13";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0.00199779430832028";"0.002533719883645";"0.00203759973574422"
"Halstead.Difficulty";"0.999188007976672";"212";"0.353362803155317";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.187998249661397";"0.406942381827716";"0.176566301109119"
"Halstead.Effort";"0.997214985265408";"2350";"6.05606262858354e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"34.5009518741388";"74.6174895223776";"55.9276346513649"
"Halstead.Length";"0.999172828976893";"2628";"2.87473468806574e-15";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1";"1.00005021456588";"1.00007751467964"
"Halstead.Time";"0.997214985265408";"2350";"6.05606262858354e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1.91599157280435";"4.14549572909364";"3.10736511832408"
"Halstead.Vocabulary";"0.998799998064366";"378";"3.70557648695722e-06";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1.49998688215981";"2.00007272153312";"1.50000495109009"
"Halstead.Volume";"0.999120705243675";"2628";"1.62407060259012e-13";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"5.00102243625974";"6.39702621330963";"5.51002707299223"
"Halstead.Identifiers.Distinct";"0.999590273177952";"105";"0.000546068842933926";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"3.00001687441322";"2.00009919940968"
"Halstead.Identifiers.Total";"0.999798911500995";"105";"0.00065989860262888";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"6.00003461676184";"2.00005617381805"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.999319832046906";"91";"0.00036256837749466";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"1"
"Halstead.Identifiers.Total.1";"0.998703380427123";"2628";"2.87473468806574e-15";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1";"1.00005223581466";"1.00005922005051"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"LOC.Logical";"0.999672122365983";"105";"0.000657694335081985";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1";"3.99995339344286";"1.00005755714456"
"Class.Name";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Class.Maintainability";"0.999509225035658";"0";"0.18144920772142";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2.94390811528592";"-1.54609188471407";"-2.1271149094736"
"Class.number.methods";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"X";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
