Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Class Name;Class Maintainability;Class number methods;
CLASS: AppRoutingModule;1;0,0;0,0;0,0020000000000000018;0,0;10,408000000000015;1,0;0,5779999999999994;0,0;3,7009999999999934;0,0;0,0;;0,0;1,0;;0,0;0,0;AppRoutingModule;0,0;0;
CLASS: AppModule;1;0,0;0,0;0,001999999999999988;0,0;21,791999999999916;1,0;1,2109999999999985;0,0;5,04400000000004;0,0;0,0;;0,0;1,0;;0,0;0,0;AppModule;0,0;0;
CLASS: MainNavigationComponent;1;0,0;0,0;0,0020000000000000018;0,0;79,89199999999983;1,0;4,437999999999988;0,0;6,248000000000047;0,0;0,0;;0,0;1,0;;0,0;0,0;MainNavigationComponent;0,0;10;
CLASS: SmallMainMenuComponent;1;0,0;0,0;0,0010000000000000009;0,0;31,960000000000036;1,0;1,7760000000000105;0,0;5,129000000000019;0,0;0,0;;0,0;1,0;;0,0;0,0;SmallMainMenuComponent;0,0;5;
CLASS: DragAndDropDirective;1;0,0;0,0;0,0020000000000000018;0,0;80,48899999999958;1,0;4,47199999999998;0,0;6,086999999999989;0,0;0,0;;0,0;1,0;;0,0;0,0;DragAndDropDirective;0,0;8;
CLASS: RemoveDirective;1;0,0;0,0;9,99999999999994E-4;0,0;12,727000000000032;1,0;0,7070000000000007;0,0;4,0;0,0;0,0;;0,0;1,0;;0,0;0,0;RemoveDirective;0,0;2;
CLASS: AppEffects;1;0,0;0,0;0,0020000000000000018;0,0;14,055000000000007;1,0;0,7799999999999976;0,0;4,391999999999996;0,0;0,0;;0,0;1,0;;0,0;0,0;AppEffects;0,0;3;
CLASS: DecoratorTypesService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;DecoratorTypesService;0,0;14;
CLASS: ServiceToSkipService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;ServiceToSkipService;0,0;1;
CLASS: FeatureConfigLoaderService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FeatureConfigLoaderService;0,0;4;
CLASS: MenuManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;MenuManagerService;0,0;10;
CLASS: PuzzleAlgorithmManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;PuzzleAlgorithmManagerService;0,0;3;
CLASS: VariableSettingsConfigService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;VariableSettingsConfigService;0,0;8;
CLASS: ZoomSettingsConfigService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;ZoomSettingsConfigService;0,0;15;
CLASS: TreeManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;TreeManagerService;0,0;1;
CLASS: AnnotationExtractorService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;AnnotationExtractorService;0,0;5;
CLASS: ComponentFactoryService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;ComponentFactoryService;0,0;2;
CLASS: FabricMenuHelperService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FabricMenuHelperService;0,0;1;
CLASS: GameConfigurationComponent;12;0,0;-1,0600000000000005;0,059;0,14400000000000013;2391,8509999999987;25,0;132,8800000000001;5,0;178,62999999999988;15,0;10,0;"['JIGSAW', 'ANTI-JIGSAW', 'JIGSAW2']","puzzleAlgorithmType","['JIGSAW2']",EXPRESSION_START7,EXPRESSION_START8,EXPRESSION_START9,EXPRESSION_END9,EXPRESSION_END8,EXPRESSION_END7,EXPRESSION_END11,EXPRESSION_END10,EXPRESSION_START11,EXPRESSION_START10,"['ANTI-JIGSAW']","['JIGSAW']";0,0;15,0;;0,0;5,0;GameConfigurationComponent;-2,9440000000000026;3;
CLASS: MaterialModule;1;0,0;0,0;9,999999999999974E-4;0,0;10,090000000000003;1,0;0,5609999999999999;0,0;3,460000000000001;0,0;0,0;;0,0;1,0;;0,0;0,0;MaterialModule;0,0;0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;3,6099999999999994;0,0;0,0;;1,0;1,0;{};0,0;0,0;DecoratorFileCopy;0,0;0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;3,6099999999999994;0,0;0,0;;1,0;1,0;{};0,0;0,0;DecoratorFileCopy;0,0;0;
CLASS: RoutingModelMock;7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;RoutingModelMock;0,0;1;
