Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
CLASS: AppRoutingModule;1;0,0;0,0;0,0020000000000000018;0,0;10,408000000000015;1,0;0,5779999999999994;0,0;3,7009999999999934;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: AppModule;1;0,0;0,0;0,001999999999999988;0,0;21,791999999999916;1,0;1,2109999999999985;0,0;5,04400000000004;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: MainNavigationComponent;1;0,0;0,0;0,0;0,0;7,26299999999992;0,09099999999999753;0,4030000000000058;0,0;0,5679999999999978;0,0;0,0;;0,0;0,0909999999999993;;0,0;0,0;
CLASS: SmallMainMenuComponent;1;0,0;0,0;0,0;0,0;5,326999999999998;0,16699999999999982;0,2959999999999994;0,0;0,855000000000004;0,0;0,0;;0,0;0,16699999999999982;;0,0;0,0;
CLASS: DragAndDropDirective;1;0,0;0,0;0,0;0,0;8,942999999999984;0,11100000000000065;0,4969999999999999;0,0;0,6760000000000161;0,0;0,0;;0,0;0,11100000000000065;;0,0;0,0;
CLASS: RemoveDirective;1;0,0;0,0;0,0;0,0;4,242000000000004;0,3330000000000002;0,23599999999999977;0,0;1,3329999999999984;0,0;0,0;;0,0;0,3330000000000002;;0,0;0,0;
CLASS: AppEffects;1;0,0;0,0;0,0010000000000000009;0,0;3,513999999999996;0,25;0,19500000000000028;0,0;1,0990000000000038;0,0;0,0;;0,0;0,25;;0,0;0,0;
CLASS: DecoratorTypesService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ServiceToSkipService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: FeatureConfigLoaderService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: MenuManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: PuzzleAlgorithmManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: VariableSettingsConfigService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ZoomSettingsConfigService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: TreeManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: AnnotationExtractorService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ComponentFactoryService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: FabricMenuHelperService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: GameConfigurationComponent;12;0,0;-0,2650000000000001;0,015;0,03600000000000003;597,9629999999997;6,25;33,22000000000003;1,25;44,65699999999998;0,0;2,5;;0,0;3,75;;0,0;1,25;
CLASS: MaterialModule;1;0,0;0,0;9,999999999999974E-4;0,0;10,090000000000003;1,0;0,5609999999999999;0,0;3,460000000000001;0,0;0,0;;0,0;1,0;;0,0;0,0;
